,algorithm,length,ncomp,nswap,time
18980,quick,4800,71505,45410,0.05713009834289551
18981,quick,4800,71226,39865,0.0559697151184082
18982,quick,4800,65047,41204,0.05368494987487793
18983,quick,4800,65437,39296,0.052407026290893555
18984,quick,4800,64871,39009,0.05260419845581055
18985,quick,4800,68844,42124,0.05461597442626953
18986,quick,4800,78283,47462,0.06208324432373047
18987,quick,4800,66884,40802,0.05283713340759277
18988,quick,4800,68319,39500,0.05182981491088867
18989,quick,4800,69671,39510,0.0520176887512207
18990,quick,4800,64723,37176,0.05020785331726074
18991,quick,4800,66005,43661,0.05334901809692383
18992,quick,4800,64692,36916,0.05035805702209473
18993,quick,4800,73289,35741,0.054343223571777344
18994,quick,4800,64647,38136,0.050788164138793945
18995,quick,4800,64580,38289,0.05079293251037598
18996,quick,4800,63993,40213,0.05168414115905762
18997,quick,4800,64514,36945,0.05846118927001953
18998,quick,4800,65812,38180,0.05440998077392578
18999,quick,4800,74345,46512,0.059905052185058594
19000,dpquick,4800,58020,33517,0.049674034118652344
19001,dpquick,4800,64217,32794,0.04951977729797363
19002,dpquick,4800,68520,34636,0.05274176597595215
19003,dpquick,4800,58749,32658,0.04640483856201172
19004,dpquick,4800,58610,35117,0.04675912857055664
19005,dpquick,4800,62429,35481,0.04878687858581543
19006,dpquick,4800,62117,30405,0.04718208312988281
19007,dpquick,4800,61735,35469,0.05002307891845703
19008,dpquick,4800,62696,34399,0.05020284652709961
19009,dpquick,4800,61335,33909,0.048425912857055664
19010,dpquick,4800,60310,30866,0.04620099067687988
19011,dpquick,4800,59412,34198,0.04617500305175781
19012,dpquick,4800,59626,31223,0.04660797119140625
19013,dpquick,4800,62145,32288,0.047477006912231445
19014,dpquick,4800,59875,32525,0.04637312889099121
19015,dpquick,4800,62545,32298,0.048303842544555664
19016,dpquick,4800,61571,32890,0.04848122596740723
19017,dpquick,4800,60832,30911,0.04786515235900879
19018,dpquick,4800,64875,31023,0.04954123497009277
19019,dpquick,4800,59070,31444,0.046569108963012695
19020,dpquick,4800,62039,34315,0.04853010177612305
19021,dpquick,4800,62483,32744,0.04954195022583008
19022,dpquick,4800,62991,34964,0.0505671501159668
19023,dpquick,4800,61469,34540,0.04840493202209473
19024,dpquick,4800,60800,31464,0.04738306999206543
19025,dpquick,4800,60491,31965,0.047807931900024414
19026,dpquick,4800,59251,30747,0.04699969291687012
19027,dpquick,4800,64113,31513,0.04982590675354004
19028,dpquick,4800,61769,34130,0.048619985580444336
19029,dpquick,4800,61525,36327,0.04683494567871094
19030,dpquick,4800,63531,32279,0.04769492149353027
19031,dpquick,4800,61159,33598,0.0483551025390625
19032,dpquick,4800,58239,31505,0.04704904556274414
19033,dpquick,4800,61688,32759,0.04872894287109375
19034,dpquick,4800,58586,32005,0.046875
19035,dpquick,4800,60927,30902,0.047859907150268555
19036,dpquick,4800,58740,32074,0.04708218574523926
19037,dpquick,4800,62281,37243,0.048400163650512695
19038,dpquick,4800,67760,31906,0.05170702934265137
19039,dpquick,4800,58836,33911,0.04770612716674805
19040,dpquick,4800,58800,32103,0.04676699638366699
19041,dpquick,4800,61589,31709,0.04832816123962402
19042,dpquick,4800,60944,31676,0.048519134521484375
19043,dpquick,4800,59023,31982,0.0464019775390625
19044,dpquick,4800,67225,31586,0.05145096778869629
19045,dpquick,4800,61865,32005,0.04821300506591797
19046,dpquick,4800,59105,36189,0.047944068908691406
19047,dpquick,4800,61730,30620,0.04802894592285156
19048,dpquick,4800,57124,31705,0.04541587829589844
19049,dpquick,4800,60579,33029,0.04754304885864258
19050,dpquick,4800,65997,33453,0.05125093460083008
19051,dpquick,4800,60347,36999,0.048941612243652344
19052,dpquick,4800,64135,31037,0.04954123497009277
19053,dpquick,4800,62106,35555,0.04996299743652344
19054,dpquick,4800,60294,31512,0.04698991775512695
19055,dpquick,4800,61652,32302,0.04971504211425781
19056,dpquick,4800,62411,35116,0.049835920333862305
19057,dpquick,4800,60360,34081,0.047297000885009766
19058,dpquick,4800,62789,32474,0.048848867416381836
19059,dpquick,4800,61011,31612,0.04800987243652344
19060,dpquick,4800,60873,32618,0.047991037368774414
19061,dpquick,4800,58466,33149,0.046862125396728516
19062,dpquick,4800,60953,32835,0.0477290153503418
19063,dpquick,4800,59241,32829,0.047798871994018555
19064,dpquick,4800,61683,32895,0.04899883270263672
19065,dpquick,4800,62662,35407,0.0500340461730957
19066,dpquick,4800,64853,30932,0.04916691780090332
19067,dpquick,4800,61695,32254,0.04914712905883789
19068,dpquick,4800,59385,28991,0.04637312889099121
19069,dpquick,4800,63881,32798,0.052056074142456055
19070,dpquick,4800,58639,33920,0.047985076904296875
19071,dpquick,4800,59665,33996,0.04744720458984375
19072,dpquick,4800,59260,34339,0.051789045333862305
19073,dpquick,4800,63862,36019,0.05018115043640137
19074,dpquick,4800,61277,32463,0.04749011993408203
19075,dpquick,4800,58601,33214,0.04678201675415039
19076,dpquick,4800,58730,35298,0.04632401466369629
19077,dpquick,4800,61219,34188,0.04786992073059082
19078,dpquick,4800,64608,30437,0.04929828643798828
19079,dpquick,4800,62302,37786,0.04917407035827637
19080,dpquick,4800,61373,32893,0.04824686050415039
19081,dpquick,4800,61032,31124,0.04600882530212402
19082,dpquick,4800,61610,35865,0.047921180725097656
19083,dpquick,4800,60288,34111,0.04603219032287598
19084,dpquick,4800,65335,35964,0.049592018127441406
19085,dpquick,4800,66781,33842,0.05050182342529297
19086,dpquick,4800,63420,34757,0.04761505126953125
19087,dpquick,4800,59146,34089,0.046115875244140625
19088,dpquick,4800,60015,32162,0.048158884048461914
19089,dpquick,4800,63952,33030,0.04950213432312012
19090,dpquick,4800,61106,34536,0.051093101501464844
19091,dpquick,4800,65886,28866,0.04929375648498535
19092,dpquick,4800,61520,36900,0.048935890197753906
19093,dpquick,4800,59991,32889,0.046955108642578125
19094,dpquick,4800,60569,33124,0.046827077865600586
19095,dpquick,4800,61135,31508,0.048004150390625
19096,dpquick,4800,59616,32434,0.04667496681213379
19097,dpquick,4800,61877,32460,0.04887986183166504
19098,dpquick,4800,59637,34198,0.047698020935058594
19099,dpquick,4800,63673,31405,0.04962325096130371
19100,hybrid,4800,60700,32578,0.04509115219116211
19101,hybrid,4800,61771,32397,0.04625391960144043
19102,hybrid,4800,60175,32391,0.04480719566345215
19103,hybrid,4800,60263,35622,0.045691728591918945
19104,hybrid,4800,63483,31173,0.047059059143066406
19105,hybrid,4800,59485,32055,0.04469180107116699
19106,hybrid,4800,61793,33638,0.04744386672973633
19107,hybrid,4800,61519,37599,0.04690098762512207
19108,hybrid,4800,61515,29934,0.04599308967590332
19109,hybrid,4800,65697,34135,0.04903984069824219
19110,hybrid,4800,61241,30606,0.04802680015563965
19111,hybrid,4800,59886,31705,0.04546713829040527
19112,hybrid,4800,64280,35818,0.04919099807739258
19113,hybrid,4800,60609,31414,0.04507803916931152
19114,hybrid,4800,60825,34964,0.04655098915100098
19115,hybrid,4800,62498,31650,0.046875
19116,hybrid,4800,62105,33095,0.046658992767333984
19117,hybrid,4800,60229,32683,0.045858144760131836
19118,hybrid,4800,66023,35896,0.04962015151977539
19119,hybrid,4800,62150,34342,0.04674363136291504
19120,hybrid,4800,62126,35017,0.048126935958862305
19121,hybrid,4800,61238,32479,0.04754519462585449
19122,hybrid,4800,61241,30460,0.04767489433288574
19123,hybrid,4800,64246,31912,0.04752802848815918
19124,hybrid,4800,62021,30732,0.04554295539855957
19125,hybrid,4800,64163,36538,0.0493927001953125
19126,hybrid,4800,64197,33539,0.047213077545166016
19127,hybrid,4800,65385,31071,0.04769706726074219
19128,hybrid,4800,62003,32779,0.045703887939453125
19129,hybrid,4800,61669,33068,0.04649686813354492
19130,hybrid,4800,65419,31992,0.04750704765319824
19131,hybrid,4800,59995,33442,0.045983076095581055
19132,hybrid,4800,64499,31479,0.04706096649169922
19133,hybrid,4800,60827,31760,0.04483604431152344
19134,hybrid,4800,66000,36245,0.05035901069641113
19135,hybrid,4800,62601,32073,0.04688215255737305
19136,hybrid,4800,67625,33502,0.049726009368896484
19137,hybrid,4800,69236,32285,0.05078291893005371
19138,hybrid,4800,63160,31907,0.04696512222290039
19139,hybrid,4800,59869,34716,0.0457310676574707
19140,hybrid,4800,67693,31043,0.05008578300476074
19141,hybrid,4800,64318,33441,0.04786992073059082
19142,hybrid,4800,62737,34813,0.04690885543823242
19143,hybrid,4800,67469,31862,0.04945802688598633
19144,hybrid,4800,62871,33085,0.04692411422729492
19145,hybrid,4800,64561,35577,0.049262046813964844
19146,hybrid,4800,62631,34400,0.04713320732116699
19147,hybrid,4800,64360,33030,0.0478968620300293
19148,hybrid,4800,64438,34567,0.0477449893951416
19149,hybrid,4800,70101,37189,0.05181717872619629
19150,hybrid,4800,62784,30003,0.046463966369628906
19151,hybrid,4800,62831,33959,0.046801090240478516
19152,hybrid,4800,59589,33630,0.04488706588745117
19153,hybrid,4800,60465,32640,0.04577994346618652
19154,hybrid,4800,68180,37535,0.05121898651123047
19155,hybrid,4800,64661,31399,0.047952890396118164
19156,hybrid,4800,60637,33109,0.04352712631225586
19157,hybrid,4800,62365,32427,0.04472923278808594
19158,hybrid,4800,63446,33801,0.045411109924316406
19159,hybrid,4800,61022,33923,0.04375195503234863
19160,hybrid,4800,62061,31623,0.04447579383850098
19161,hybrid,4800,66309,32898,0.04659891128540039
19162,hybrid,4800,62211,30849,0.043683767318725586
19163,hybrid,4800,62108,32305,0.045974016189575195
19164,hybrid,4800,62618,32735,0.04614400863647461
19165,hybrid,4800,62381,35519,0.046356201171875
19166,hybrid,4800,60368,34775,0.04562211036682129
19167,hybrid,4800,61129,35822,0.04755520820617676
19168,hybrid,4800,61475,35717,0.04617500305175781
19169,hybrid,4800,61923,31193,0.04640507698059082
19170,hybrid,4800,65293,33685,0.04849410057067871
19171,hybrid,4800,61817,33657,0.0472559928894043
19172,hybrid,4800,65148,34843,0.047814130783081055
19173,hybrid,4800,61338,30847,0.044731855392456055
19174,hybrid,4800,61340,32254,0.043554067611694336
19175,hybrid,4800,62781,32157,0.04567432403564453
19176,hybrid,4800,62193,32018,0.0471491813659668
19177,hybrid,4800,60060,34446,0.04627275466918945
19178,hybrid,4800,60118,29627,0.044259071350097656
19179,hybrid,4800,63083,30991,0.047240257263183594
19180,hybrid,4800,65546,30056,0.04900360107421875
19181,hybrid,4800,63371,34370,0.050843238830566406
19182,hybrid,4800,61054,34764,0.04741191864013672
19183,hybrid,4800,62359,34751,0.04799914360046387
